,Posição,Clube,Estado,Faturamento,Deficit ou Superavit,Ano
0,1,São Paulo,São Paulo,"R$ 364,7 Milhões[109]","R$ 23,5 Milhões[109]",2013
1,2,Corinthians,São Paulo,"R$ 316,0 Milhões[109]","R$ 1,0 Milhão[109]",2013
2,3,Internacional,Rio Grande do Sul,"R$ 276,7 Milhões[109]","R$ -1,0 Milhão[109]",2013
3,4,Flamengo,Rio de Janeiro,"R$ 272,9 Milhões[109]","R$ -19,5 Milhões[109]",2013
4,5,Atlético Mineiro,Minas Gerais,"R$ 227,9 Milhões[109]","R$ -22,5 Milhões[109]",2013
5,6,Grêmio,Rio Grande do Sul,"R$ 192,3 Milhões[109]","R$ -51,5 Milhões[109]",2013
6,7,Santos,São Paulo,"R$ 190,3 Milhões[109]","R$ -40,6 Milhões[109]",2013
7,8,Cruzeiro,Minas Gerais,"R$ 187,9 Milhões[109]","R$ -22,8 Milhões[109]",2013
8,9,Palmeiras,São Paulo,"R$ 181,2 Milhões[109]","R$ -22,6 Milhões[109]",2013
9,10,Vasco,Rio de Janeiro,"R$ 159,7 Milhões[109]","R$ -3,5 Milhões[109]",2013
10,11,Botafogo,Rio de Janeiro,"R$ 154,4 Milhões[109]","R$ -80,3 Milhões[109]",2013
11,12,Fluminense,Rio de Janeiro,"R$ 124,8 Milhões[109]","R$ -3,3 Milhões[109]",2013
0,1,Corinthians,São Paulo,"R$ 358,5 Milhões[109]","R$ 7,5 Milhões[109]",2012
1,2,São Paulo,São Paulo,"R$ 284,1 Milhões[109]","R$ 0,8 Milhão[109]",2012
2,3,Internacional,Rio Grande do Sul,"R$ 264,2 Milhões[109]","R$ 11,0 Milhões[109]",2012
3,4,Palmeiras,São Paulo,"R$ 244,6 Milhões[109]","R$ 31,9 Milhões[109]",2012
4,5,Grêmio,Rio Grande do Sul,"R$ 233,5 Milhões[109]","R$ 28,2 Milhões[109]",2012
5,6,Flamengo,Rio de Janeiro,"R$ 212,0 Milhões[109]","R$ -60,5 Milhões[109]",2012
6,7,Santos,São Paulo,"R$ 197,8 Milhões[109]","R$ 14,6 Milhões[109]",2012
8,9,Atlético Mineiro,Minas Gerais,"R$ 163,0 Milhões[109]","R$ -33,2 Milhões[109]",2012
9,10,Fluminense,Rio de Janeiro,"R$ 151,2 Milhões[109]","R$ -3,7 Milhões[109]",2012
10,11,Vasco,Rio de Janeiro,"R$ 146,2 Milhões[109]","R$ -0,1 Milhão[109]",2012
11,12,Botafogo,Rio de Janeiro,"R$ 122,8 Milhões[109]","R$ -49,3 Milhões[109]",2012
12,13,Cruzeiro,Minas Gerais,"R$ 120,4 Milhões[109]","R$ -31,0 Milhões[109]",2012
0,1,Corinthians,São Paulo,"R$ 290,5 Milhões[109]","R$ 5,3 Milhões[109]",2011
1,2,São Paulo,São Paulo,"R$ 226,1 Milhões[109]","R$ 0,2 Milhão[109]",2011
2,3,Internacional,Rio Grande do Sul,"R$ 198,2 Milhões[109]","R$ -23,4 Milhões[109]",2011
3,4,Santos,São Paulo,"R$ 189,1 Milhões[109]","R$ 7,4 Milhões[109]",2011
4,5,Flamengo,Rio de Janeiro,"R$ 185,0 Milhões[109]","R$ -12,4 Milhões[109]",2011
5,6,Palmeiras,São Paulo,"R$ 148,1 Milhões[109]","R$ -22,8 Milhões[109]",2011
